Voltage (V),Average Current (mA),Maximum Current (mA),Power (mW)
2.354567404426559,-4.684884226519819e-06,3.893429837149809e-05,-1.10308756932757e-05
2.3317102615694165,-7.918800555177518e-06,3.893429837149809e-05,-1.846434851382901e-05
2.3088531187122734,-3.5855597825246772e-06,3.893429837149809e-05,-8.278530886211402e-06
2.2859959758551307,-6.258974882924189e-06,3.893429837149809e-05,-1.4307991395343034e-05
2.2631388329979876,-3.6583034692120204e-06,4.8667872964372623e-05,-8.279248644064981e-06
2.240281690140845,-6.912316656864168e-06,3.893429837149809e-05,-1.5485536442828372e-05
2.217424547283702,-3.992478992640382e-06,3.893429837149809e-05,-8.85302092279529e-06
2.194567404426559,-6.777817136910032e-06,3.893429837149809e-05,-1.48743765618265e-05
2.171710261569416,-5.1109483571365125e-06,3.893429837149809e-05,-1.1099498993544713e-05
2.1488531187122737,-5.028700663580101e-06,3.893429837149809e-05,-1.080593910400458e-05
2.1259959758551306,-3.891552128041011e-06,4.8667872964372623e-05,-8.273424164045659e-06
2.1031388329979874,-7.293723205179381e-06,3.893429837149809e-05,-1.5339712509951305e-05
2.080281690140845,-6.54851051702921e-06,3.893429837149809e-05,-1.3622746526270625e-05
2.057424547283702,-7.00789198256891e-06,3.893429837149809e-05,-1.4418208989649925e-05
2.034567404426559,-4.202707834097971e-06,4.8667872964372623e-05,-8.550692369583874e-06
2.0117102615694162,-4.616817271324892e-06,3.893429837149809e-05,-9.287698680515198e-06
1.9888531187122735,-5.259932641097654e-06,3.893429837149809e-05,-1.0461233437463555e-05
1.9659959758551309,-3.242178859328192e-06,4.8667872964372623e-05,-6.374110590441804e-06
1.9431388329979877,-6.435052570928432e-06,3.893429837149809e-05,-1.2504200542954575e-05
1.920281690140845,-7.0149350900890795e-06,4.8667872964372623e-05,-1.3470651411024578e-05
1.8974245472837021,-2.7079424011999132e-06,4.8667872964372623e-05,-5.138116384667087e-06
1.8745674044265592,-4.588651634692507e-06,4.8667872964372623e-05,-8.601736784663222e-06
1.8517102615694163,-7.232668213764484e-06,4.8667872964372623e-05,-1.3392805949954635e-05
1.8288531187122736,-3.4142601332286656e-06,4.8667872964372623e-05,-6.244180292750228e-06
1.8059959758551305,-6.3302268331282385e-06,3.893429837149809e-05,-1.1432364186879765e-05
1.7831388329979878,-5.554664130907213e-06,3.893429837149809e-05,-9.904737316081669e-06
1.7602816901408451,-7.476888179424062e-06,3.893429837149809e-05,-1.3161429361470694e-05
1.737424547283702,-2.4169676544505263e-06,3.893429837149809e-05,-4.199298932833057e-06
1.7145674044265593,-5.832633919289457e-06,3.893429837149809e-05,-1.0000443999966434e-05
1.6917102615694164,-4.6602890890667655e-06,3.893429837149809e-05,-7.883858873854235e-06
1.6688531187122733,-2.8018052227319725e-06,3.893429837149809e-05,-4.675801383980588e-06
1.6459959758551306,-6.102554603683136e-06,3.893429837149809e-05,-1.0044780320098643e-05
